time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24.2,,24.2,24.1,,0,,,64,1.1,22,1.5,24,4.7,,,,,,,,,,,
2013-9-1 00:00:00,24.2,,24.3,24.2,,0,,,41,1.8,35,2.1,17,5.5,,,,,,,,,,,
2013-8-31 23:00:00,24.2,,24.5,24.2,,0,,,35,1.3,38,1.4,41,4.8,,,,,,,,,,,
2013-8-31 22:00:00,24.6,,24.8,24.5,,0,,,73,0.6,43,0.9,14,4.8,,,,,,,,,,,
2013-8-31 21:00:00,24.7,,25,24.7,,0,,,53,1.2,31,1.4,32,4.4,,,,,,,,,,,
2013-8-31 20:00:00,24.9,,25.4,24.9,,0,,,45,1.3,37,0.9,18,5,,,,,,,,,,,
2013-8-31 19:00:00,25.4,,25.9,25.4,,0,,,24,2.4,34,1.7,23,5.8,,,,,,,,,,,
2013-8-31 18:00:00,25.7,,26.6,25.7,,0,,,16,2.1,31,1.7,14,7.7,,,,,,,,,,,
2013-8-31 17:00:00,26.5,,27.4,26.5,,0,,,33,3.8,25,2.9,26,6,,,,,,,,,,,
2013-8-31 16:00:00,27.3,,27.6,27.3,,0,,,8,2,30,1.7,16,6.4,,,,,,,,,,,
2013-8-31 15:00:00,27.5,,28.3,27.3,,0,,,35,1.4,29,1.9,27,6.4,,,,,,,,,,,
2013-8-31 14:00:00,27.5,,28.2,27.4,,0,,,21,2.8,35,1.8,24,5.1,,,,,,,,,,,
2013-8-31 13:00:00,28.2,,28.2,27.5,,0,,,32,1.2,16,1,21,4.2,,,,,,,,,,,
2013-8-31 12:00:00,27.5,,27.8,27.1,,0,,,51,1.9,27,2.7,17,5.1,,,,,,,,,,,
2013-8-31 11:00:00,27.2,,27.5,26.4,,0,,,17,2,20,2.3,11,5.1,,,,,,,,,,,
2013-8-31 10:00:00,26.4,,26.7,25.7,,0,,,14,2.4,30,1.4,20,4.2,,,,,,,,,,,
2013-8-31 9:00:00,25.7,,25.8,25.2,,0,,,133,0.4,35,0.9,33,4.2,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.3,25.1,,0,,,52,1.1,28,1.1,28,3.4,,,,,,,,,,,
2013-8-31 2:00:00,25.5,,25.6,25.4,,0,,,29,2.6,26,2.3,10,5.6,,,,,,,,,,,
2013-8-31 1:00:00,25.5,,26,25.5,,0,,,11,1.3,39,1.6,10,6.3,,,,,,,,,,,
2013-8-31 00:00:00,25.9,,26.2,25.9,,0,,,10,4.3,39,2.1,15,6.9,,,,,,,,,,,
